symbol,CVSAId,category,market,currency,settlPeriod,lotSize,minimumSize,block,isin,instrumentStatus,issuer,securityDescription,tickPriceId
HARG,733,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,10.00000,0,ARP6806N1051,0,0079-HOLCIM (ARGENTINA) S,HOLCIM (ARGENTINA) S.A.-ORD.ES,Tick_Acciones
HARG,733,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,10.00000,0,ARP6806N1051,0,0079-HOLCIM (ARGENTINA) S,HOLCIM (ARGENTINA) S.A.-ORD.ES,Tick_Acciones
BHIPC,751,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,30.00000,0,ARBHIP010161,1,0501-BANCO HIPOTECARIO NA,BANCO HIPOTECARIO S.A. ORD CLA,Tick_Acciones
CRESC,274,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARP331091024,0,0077-CRESUD S.A.C.I.F. Y,CRESUD,Tick_Acciones_Lider_CEDEAR
TXAR,839,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,1.00000,0,ARSIDE010029,0,0549-SIDERAR S.A.I.C.,TERNIUM ARGENTINA S.A.,Tick_Acciones_Lider_CEDEAR
TXAR,839,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,1.00000,0,ARSIDE010029,0,0549-SIDERAR S.A.I.C.,TERNIUM ARGENTINA S.A.,Tick_Acciones_Lider_CEDEAR
GGALC,534,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARP495251018,0,1129-GRUPO FINANCIERO GAL,"GRUPO FINANCIERO GALICIA ""B""1V",Tick_Acciones_Lider_CEDEAR
GGALC,534,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARP495251018,0,1129-GRUPO FINANCIERO GAL,"GRUPO FINANCIERO GALICIA ""B""1V",Tick_Acciones_Lider_CEDEAR
CEPUC,322,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARP2354W1188,0,0410-CENTRAL PUERTO S. A.,CENTRAL PUERTO-ORDS. 1 VOTO,Tick_Acciones_Lider_CEDEAR
HARGC,733,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,10.00000,0,ARP6806N1051,1,0079-HOLCIM (ARGENTINA) S,HOLCIM (ARGENTINA) S.A.-ORD.ES,Tick_Acciones
BMA.C,111,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARBANS010010,0,0409-BANCO MACRO S.A.,"BCO.MACRO-ACCS.ORDS.""B"" 1 V.",Tick_Acciones_Lider_CEDEAR
MIRGC,798,01-ACCIONES PRIVADAS,CT,EXT,0001,0.1000000,0.10000,0,ARP6823S1295,1,0461-MIRGOR S.A.,"MIRGOR -ORD.ESC.  ""C"" 1 VOTO",Tick_Acciones
BMA.C,111,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARBANS010010,0,0409-BANCO MACRO S.A.,"BCO.MACRO-ACCS.ORDS.""B"" 1 V.",Tick_Acciones_Lider_CEDEAR
BYMAD,30038,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARBYMA300018,0,5047-BOLSAS Y MERCADOS AR,BOLSAS Y MERCADOS ARG. $ ORD.,Tick_Acciones_Lider_CEDEAR
BYMAD,30038,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARBYMA300018,0,5047-BOLSAS Y MERCADOS AR,BOLSAS Y MERCADOS ARG. $ ORD.,Tick_Acciones_Lider_CEDEAR
DGC2D,307,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,10.00000,0,ARP3568E1180,1,0498-DISTRIBUIDORA DE GAS,DISTRIBUIDORA DE GAS CUYANA C.,Tick_Acciones
DGC2D,307,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,10.00000,0,ARP3568E1180,1,0498-DISTRIBUIDORA DE GAS,DISTRIBUIDORA DE GAS CUYANA C.,Tick_Acciones
MIRGD,798,01-ACCIONES PRIVADAS,CT,USD,0002,0.1000000,0.10000,0,ARP6823S1295,0,0461-MIRGOR S.A.,"MIRGOR ORDS.""C"" 1 V. ESCRIT.",Tick_Acciones
MIRGD,798,01-ACCIONES PRIVADAS,CT,USD,0001,0.1000000,0.10000,0,ARP6823S1295,0,0461-MIRGOR S.A.,"MIRGOR ORDS.""C"" 1 V. ESCRIT.",Tick_Acciones
TGN4D,30005,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARTGNO010117,0,0446-TRANSPORTADORA GAS D,"TRANS. GAS DEL NORTE  ""C"" ORD",Tick_Acciones_Lider_CEDEAR
TGN4D,30005,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARTGNO010117,0,0446-TRANSPORTADORA GAS D,"TRANS. GAS DEL NORTE  ""C"" ORD",Tick_Acciones_Lider_CEDEAR
YPFDD,710,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARP9897X1319,0,0401-YPF S.A.,"YPF S.A. ACCS.ORDS.""D"" 1 VOTO",Tick_Acciones_Lider_CEDEAR
YPFDD,710,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARP9897X1319,0,0401-YPF S.A.,"YPF S.A. ACCS.ORDS.""D"" 1 VOTO",Tick_Acciones_Lider_CEDEAR
TGSUC,617,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARP9308R1039,0,0431-TRANSPORTADORA GAS D,TRANSPORTADORA DE GAS DEL SUR,Tick_Acciones_Lider_CEDEAR
YPFDC,710,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARP9897X1319,0,0401-YPF S.A.,"YPF S.A. ACCS.ORDS.""D"" 1 VOTO",Tick_Acciones_Lider_CEDEAR
YPFDC,710,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARP9897X1319,0,0401-YPF S.A.,"YPF S.A. ACCS.ORDS.""D"" 1 VOTO",Tick_Acciones_Lider_CEDEAR
